x1,x2,y
-7.0,-4.4,37.86545989024338
-7.0,-4.322784810126582,40.15163858738021
-7.0,-4.245569620253165,42.19854468298762
-7.0,-4.168354430379747,43.9939802054806
-7.0,-4.09113924050633,45.52724575270618
-7.0,-4.0139240506329115,46.789204252075905
-7.0,-3.936708860759494,47.77233541042638
-7.0,-3.859493670886076,48.470780529129634
-7.0,-3.7822784810126584,48.88037741738955
-7.0,-3.7050632911392407,48.99868519566845
-7.0,-3.627848101265823,48.82499884143459
-7.0,-3.5506329113924053,48.36035339054928
-7.0,-3.4734177215189876,47.607517769256475
-7.0,-3.39620253164557,46.57097829353148
-7.0,-3.318987341772152,45.25691193411997
-7.0,-3.2417721518987346,43.6731495065867
-7.0,-3.1645569620253164,41.82912900573264
-7.0,-3.087341772151899,39.73583936247165
-7.0,-3.010126582278481,37.40575495833127
-7.0,-2.9329113924050634,34.85276128782129
-7.0,-2.8556962025316457,32.092072211663734
-7.0,-2.778481012658228,29.14013929399165
-7.0,-2.7012658227848103,26.014553763795952
-7.0,-2.6240506329113926,22.73394168485447
-7.0,-2.546835443037975,19.317852958848764
-7.0,-2.469620253164557,15.786644823124128
-7.0,-2.3924050632911396,12.161360537355764
-7.0,-2.3151898734177214,8.463603982054012
-7.0,-2.2379746835443037,4.71541091620506
-7.0,-2.160759493670886,0.9391176612506217
-7.0,-2.0835443037974684,-2.842772006050989
-7.0,-2.0063291139240507,-6.607720958667631
-7.0,-1.929113924050633,-10.333293023077832
-7.0,-1.8518987341772153,-13.997286681450712
-7.0,-1.7746835443037976,-17.577867375460137
-7.0,-1.69746835443038,-21.05369762330503
-7.0,-1.6202531645569622,-24.40406417453942
-7.0,-1.5430379746835445,-27.609001444968133
-7.0,-1.4658227848101264,-30.649410496031916
-7.0,-1.3886075949367087,-33.507172849657216
-7.0,-1.311392405063291,-36.165258460322576
-7.0,-1.2341772151898733,-38.60782720091169
-7.0,-1.1569620253164556,-40.820323257576455
-7.0,-1.079746835443038,-42.78956187108965
-7.0,-1.0025316455696203,-44.50380790777644
-7.0,-0.9253164556962026,-45.95284579180257
-7.0,-0.8481012658227849,-47.1280403820773
-7.0,-0.7708860759493672,-48.02238843099203
-7.0,-0.6936708860759495,-48.63056031834032
-7.0,-0.6164556962025314,-48.9489318117177
-7.0,-0.5392405063291137,-48.97560566413364
-7.0,-0.462025316455696,-48.71042292013114
-7.0,-0.38481012658227876,-48.15496386303791
-7.0,-0.3075949367088606,-47.31253859770419
-7.0,-0.2303797468354425,-46.188167324847086
-7.0,-0.15316455696202524,-44.788550424550905
-7.0,-0.07594936708860711,-43.12202852720233
-7.0,0.0012658227848101333,-41.198532809807205
-7.0,0.07848101265822827,-39.02952581388368
-7.0,0.1556962025316455,-36.627933137611834
-7.0,0.23291139240506364,-34.00806640930075
-7.0,0.3101265822784809,-31.185538001192263
-7.0,0.387341772151899,-28.17716799183999
-7.0,0.46455696202531627,-25.000883931496638
-7.0,0.5417721518987344,-21.675614007829004
-7.0,0.6189873417721525,-18.221174248611238
-7.0,0.6962025316455698,-14.658150433579758
-7.0,0.7734177215189879,-11.007775419163954
-7.0,0.8506329113924052,-7.291802607142428
-7.0,0.9278481012658233,-3.5323763112523783
-7.0,1.0050632911392405,0.24810020573221178
-7.0,1.0822784810126587,4.027098238058334
-7.0,1.159493670886076,7.782097890593818
-7.0,1.236708860759494,11.490722279923423
-7.0,1.3139240506329113,15.130870883205407
-7.0,1.3911392405063294,18.680851240134274
-7.0,1.4683544303797476,22.119508223166868
-7.0,1.5455696202531648,25.42635010566275
-7.0,1.622784810126583,28.581670676669983
-7.0,1.7,31.56666667464686
-6.8734177215189876,-4.4,36.508385898316824
-6.8734177215189876,-4.322784810126582,38.71262940544741
-6.8734177215189876,-4.245569620253165,40.68617568885878
-6.8734177215189876,-4.168354430379747,42.41726394450702
-6.8734177215189876,-4.09113924050633,43.89557823000521
-6.8734177215189876,-4.0139240506329115,45.11230893963333
-6.8734177215189876,-3.936708860759494,46.06020530275043
-6.8734177215189876,-3.859493670886076,46.73361859276
-6.8734177215189876,-3.7822784810126584,47.128535789136
-6.8734177215189876,-3.7050632911392407,47.242603491910465
-6.8734177215189876,-3.627848101265823,47.075141946110634
-6.8734177215189876,-3.5506329113924053,46.62714909257107
-6.8734177215189876,-3.4734177215189876,45.90129462098075
-6.8734177215189876,-3.39620253164557,44.9019040606047
-6.8734177215189876,-3.318987341772152,43.63493300348695
-6.8734177215189876,-3.2417721518987346,42.10793161374446
-6.8734177215189876,-3.1645569620253164,40.32999963444916
-6.8734177215189876,-3.087341772151899,38.31173216022224
-6.8734177215189876,-3.010126582278481,36.06515649869368
-6.8734177215189876,-2.9329113924050634,33.60366049708419
-6.8734177215189876,-2.8556962025316457,30.94191276102679
-6.8734177215189876,-2.778481012658228,28.095775241062704
-6.8734177215189876,-2.7012658227848103,25.082208707727613
-6.8734177215189876,-2.6240506329113926,21.919171678523707
-6.8734177215189876,-2.546835443037975,18.625513399094203
-6.8734177215189876,-2.469620253164557,15.220861516349506
-6.8734177215189876,-2.3924050632911396,11.725505112926074
-6.8734177215189876,-2.3151898734177214,8.16027380000145
-6.8734177215189876,-2.2379746835443037,4.546413588979218
-6.8734177215189876,-2.160759493670886,0.9054602817513041
-6.8734177215189876,-2.0835443037974684,-2.7408888659657764
-6.8734177215189876,-2.0063291139240507,-6.370904443434275
-6.8734177215189876,-1.929113924050633,-9.962954375317521
-6.8734177215189876,-1.8518987341772153,-13.495632832058773
-6.8734177215189876,-1.7746835443037976,-16.94788779201085
-6.8734177215189876,-1.69746835443038,-20.29914649514522
-6.8734177215189876,-1.6202531645569622,-23.529438040733837
-6.8734177215189876,-1.5430379746835445,-26.61951239841669
-6.8734177215189876,-1.4658227848101264,-29.550955123441476
-6.8734177215189876,-1.3886075949367087,-32.30629709246157
-6.8734177215189876,-1.311392405063291,-34.86911860595225
-6.8734177215189876,-1.2341772151898733,-37.224147236875346
-6.8734177215189876,-1.1569620253164556,-39.357348842490445
-6.8734177215189876,-1.079746835443038,-41.25601119695271
-6.8734177215189876,-1.0025316455696203,-42.90881974631216
-6.8734177215189876,-0.9253164556962026,-44.30592503447314
